title,description,processed,sentiment
A Light in the Attic,"It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition. Silverstein's humorous and creative verse can amuse the dowdiest of readers. Lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love th It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition. Silverstein's humorous and creative verse can amuse the dowdiest of readers. Lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love that Silverstein. Need proof of his genius? RockabyeRockabye baby, in the treetopDon't you know a treetopIs no safe place to rock?And who put you up there,And your cradle, too?Baby, I think someone down here'sGot it in for you. Shel, you never sounded so good. ...more",hard imagine world without light attic collection poetry drawings shel silverstein celebrates anniversary special edition silverstein humorous creative verse amuse dowdiest readers adults fidgety kids sit still read rhythmic words laugh smile love th hard imagine world without light attic collection poetry drawings shel silverstein celebrates anniversary special edition silverstein humorous creative verse amuse dowdiest readers adults fidgety kids sit still read rhythmic words laugh smile love silverstein need proof genius rockabyerockabye baby treetopdo know treetopis safe place rock put cradle baby think someone shel never sounded good,0.9921
Tipping the Velvet,"""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King, an oyster girl, is captivated by the music hall phenomenon Kitty Butler, a male impersonator extraordinaire treading the boards in Canterbury. Through a friend at the box office, Nan manages to visit all her shows and finally meet her heroine. Soon after, she becomes Kitty's ""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King, an oyster girl, is captivated by the music hall phenomenon Kitty Butler, a male impersonator extraordinaire treading the boards in Canterbury. Through a friend at the box office, Nan manages to visit all her shows and finally meet her heroine. Soon after, she becomes Kitty's dresser and the two head for the bright lights of Leicester Square where they begin a glittering career as music-hall stars in an all-singing and dancing double act. At the same time, behind closed doors, they admit their attraction to each other and their affair begins. ...more",erotic absorbing written starling power new york times book review nan king oyster girl captivated music hall phenomenon kitty butler male impersonator extraordinaire treading boards canterbury friend box office nan manages visit shows finally meet heroine soon becomes kitty erotic absorbing written starling power new york times book review nan king oyster girl captivated music hall phenomenon kitty butler male impersonator extraordinaire treading boards canterbury friend box office nan manages visit shows finally meet heroine soon becomes kitty dresser two head bright lights leicester square begin glittering career stars dancing double act time behind closed doors admit attraction affair begins,0.9769
Soumission,"Dans une France assez proche de la nÃ´tre, un homme sâengage dans la carriÃ¨re universitaire. Peu motivÃ© par lâenseignement, il sâattend Ã  une vie ennuyeuse mais calme, protÃ©gÃ©e des grands drames historiques. Cependant les forces en jeu dans le pays ont fissurÃ© le systÃ¨me politique jusquâÃ  provoquer son effondrement. Cette implosion sans soubresauts, sans vraie rÃ©volution, s Dans une France assez proche de la nÃ´tre, un homme sâengage dans la carriÃ¨re universitaire. Peu motivÃ© par lâenseignement, il sâattend Ã  une vie ennuyeuse mais calme, protÃ©gÃ©e des grands drames historiques. Cependant les forces en jeu dans le pays ont fissurÃ© le systÃ¨me politique jusquâÃ  provoquer son effondrement. Cette implosion sans soubresauts, sans vraie rÃ©volution, se dÃ©veloppe comme un mauvais rÃªve.Le talent de lâauteur, sa force visionnaire nous entraÃ®nent sur un terrain ambigu et glissant ; son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions poÃ©tiques, les effets comiques, une mÃ©lancolie fataliste.Ce livre est une saisissante fable politique et morale. ...more",dans une france assez proche de la un homme dans la universitaire peu par il ã une vie ennuyeuse mais calme des grands drames historiques cependant les forces en jeu dans le pays ont le politique provoquer son effondrement cette implosion sans soubresauts sans vraie dans une france assez proche de la un homme dans la universitaire peu par il ã une vie ennuyeuse mais calme des grands drames historiques cependant les forces en jeu dans le pays ont le politique provoquer son effondrement cette implosion sans soubresauts sans vraie se comme un mauvais talent de sa force visionnaire nous sur un terrain ambigu et glissant son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions les effets comiques une livre est une saisissante fable politique et morale,0.4215
Sharp Objects,"WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille Preakerâs troubled past. Fresh from a brief stay at a psych hospital, Camilleâs first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls. NASTY on her kneecap, BABYDOLL on her leg Since WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille Preakerâs troubled past. Fresh from a brief stay at a psych hospital, Camilleâs first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls. NASTY on her kneecap, BABYDOLL on her leg Since she left town eight years ago, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed again in her familyâs Victorian mansion, Camille is haunted by the childhood tragedy she has spent her whole life trying to cut from her memory. HARMFUL on her wrist, WHORE on her ankle As Camille works to uncover the truth about these violent crimes, she finds herself identifying with the young victimsâa bit too strongly. Clues keep leading to dead ends, forcing Camille to unravel the psychological puzzle of her own past to get at the story. Dogged by her own demons, Camille will have to confront what happened to her years before if she wants to survive this homecoming.With its taut, crafted writing, Sharp Objects is addictive, haunting, and unforgettable. ...more",wicked hipbone girl across heart words like road map reporter camille troubled past fresh brief stay psych hospital first assignment daily paper works brings reluctantly back hometown cover murders two preteen girls nasty kneecap babydoll leg since wicked hipbone girl across heart words like road map reporter camille troubled past fresh brief stay psych hospital first assignment daily paper works brings reluctantly back hometown cover murders two preteen girls nasty kneecap babydoll leg since left town eight years ago camille hardly spoken neurotic hypochondriac mother barely knows beautiful eerie grip town installed victorian mansion camille haunted childhood tragedy spent whole life trying cut memory harmful wrist whore ankle camille works uncover truth violent crimes finds identifying young bit strongly clues keep leading dead ends forcing camille unravel psychological puzzle past get story dogged demons camille confront happened years wants survive taut crafted writing sharp objects addictive haunting unforgettable,-0.9873
Sapiens: A Brief History of Humankind,"From a renowned historian comes a groundbreaking narrative of humanityâs creation and evolutionâa #1 international bestsellerâthat explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be âhuman.âOne hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only oneâh From a renowned historian comes a groundbreaking narrative of humanityâs creation and evolutionâa #1 international bestsellerâthat explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be âhuman.âOne hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only oneâhomo sapiens. What happened to the others? And what may happen to us?Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas.Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become?Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem. ...more",renowned historian comes groundbreaking narrative creation international explores ways biology history defined us enhanced understanding means hundred thousand years ago least six different species humans inhabited earth yet today renowned historian comes groundbreaking narrative creation international explores ways biology history defined us enhanced understanding means hundred thousand years ago least six different species humans inhabited earth yet today sapiens happened others may happen us books history humanity pursue either historical biological approach yuval noah harari breaks mold highly original book begins years ago appearance modern cognition examining role evolving humans played global ecosystem charting rise empires sapiens integrates history science reconsider accepted narratives connect past developments contemporary concerns examine specific events within context larger harari also compels us look ahead last decades humans begun bend laws natural selection governed life past four billion years acquiring ability design world around us also leading us want become featuring photographs maps provocative insightful work sure spark debate essential reading aficionados jared diamond james gleick matt ridley robert wright sharon moalem,0.9583
The Requiem Red,"Patient Twenty-nine.A monster roams the halls of Soothing Hills Asylum. Three girls dead. 29 is endowed with the curseâ¦or gift of perception. She hears messages in music, sees lyrics in paintings. And the corn. A lifetime asylum resident, the orchestral corn music is the only constant in her life.Mason, a new, kind orderly, sees 29 as a woman, not a lunatic. And as his bel Patient Twenty-nine.A monster roams the halls of Soothing Hills Asylum. Three girls dead. 29 is endowed with the curseâ¦or gift of perception. She hears messages in music, sees lyrics in paintings. And the corn. A lifetime asylum resident, the orchestral corn music is the only constant in her life.Mason, a new, kind orderly, sees 29 as a woman, not a lunatic. And as his belief in her grows, so does her self- confidence. That perhaps she might escape, might see the outside world. But the monster has other plans. The missing girls share one common thread...each was twenty-nine's cell mate. Will she be next? ...more",patient monster roams halls soothing hills asylum three girls dead endowed gift perception hears messages music sees lyrics paintings corn lifetime asylum resident orchestral corn music constant new kind orderly sees woman lunatic bel patient monster roams halls soothing hills asylum three girls dead endowed gift perception hears messages music sees lyrics paintings corn lifetime asylum resident orchestral corn music constant new kind orderly sees woman lunatic belief grows confidence perhaps might escape might see outside world monster plans missing girls share one common thread cell mate next,0.6369
The Dirty Little Secrets of Getting Your Dream Job,"Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskinâs The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job.Don Raskin owns and Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskinâs The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job.Don Raskin owns and operates MME, an advertising and marketing agency in New York City. During his twenty-five years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entry-level recruitment for positions in creative, account management, traffic, and production. Raskin has also mentored countless students and their parents on best practices for the job search. Over the years, Raskin has kept exceptionally detailed notes on the interviews he has conducted, observing the good, the bad, the ridiculous, the irreverent. He also has a treasure trove of over-the-top cover letters, resumes, interviews, and post interview follow-ups he has conducted and received. Now, he wants to share all the wisdom and insider secrets he has gathered to help students and first-time job seekers find a job in this economy.Based on his remarkable expertise, Raskin's book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first jobâor a new oneâand finding career success. ...more",drawing extensive experience evaluating applicants marketing agency featuring stories based situations sample cover letters resumes straightforward advice dirty little secrets getting dream job offers necessary tools navigating tough job market securing dream raskin owns drawing extensive experience evaluating applicants marketing agency featuring stories based situations sample cover letters resumes straightforward advice dirty little secrets getting dream job offers necessary tools navigating tough job market securing dream raskin owns operates mme advertising marketing agency new york city years agency interviewed hundreds new college graduates positions within agency placed strong emphasis recruitment positions creative account management traffic production raskin also mentored countless students parents best practices job search years raskin kept exceptionally detailed notes interviews conducted observing good bad ridiculous irreverent also treasure trove cover letters resumes interviews post interview conducted received wants share wisdom insider secrets gathered help students job seekers find job remarkable expertise raskin book provides exclusive insight job search process lets readers dirty little secrets landing first new finding career success,0.9749
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in love with Victoria Woodhull.""-Kinky Friedman, author and Governor of the Heart of Texas ""What kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? More than 140 years pre-Hillary, there was Victoria Woodhull. This book takes you back with a ""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in love with Victoria Woodhull.""-Kinky Friedman, author and Governor of the Heart of Texas ""What kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? More than 140 years pre-Hillary, there was Victoria Woodhull. This book takes you back with a breathtaking, present-tense bird's eye view into a time when women's liberation was primarily confined to one woman's very capable, independent mind. I couldn't put it down.""---Ruth Buzzi, Golden Globe Award winner and Television Hall of Fame inductee""Sadly, too many Americans have never heard of Victoria Woodhull, let alone learned of her story: her revolutionary campaign for the presidency at a time when women weren't even allowed to vote, her support for worker's rights, or her feminist commitment to equality, a century before the official battle over the Equal Rights Amendment. But in The Coming Woman, Karen Hicks brings Woodhull's efforts to life, and reminds us that some of our nation's greatest figures aren't always featured in the history books. It is a riveting account of an amazing woman and her struggle for justice and human dignity, told in an engaging and eminently readable style.""-Tim Wise, author, ""White Like Me: Reflections on Race from a Privileged Son""""The Coming Woman"" is a novel based on the life of feminist Victoria Woodhull, the first woman to run for U.S. President, 50 years before women could even vote!Running for President wasn't Victoria's only first as a woman. She was also the first to own a successful Wall Street firm, the first to publish a successful national newspaper, and the first to head the two-million-member Spiritualist Association. She was the first woman to enter the Senate Judiciary Committee chambers to petition for woman's suffrage, her argument changing the entire focus of the suffragist movement by pointing out that the 14th and 15th Amendments already gave women the vote.In her campaign for the Presidency, Victoria Woodhull boldly addressed many of the issues we still face today: equal pay for equal work; freedom in love; corporate greed and political corruption fueled by powerful lobbyists; and the increasing disparity between the rich and the poor, to name only a few. Her outspoken and common-sense ideas may shed a new perspective on the parallel conundrums of today's world.This bold, beautiful, and sexually progressive woman dared to take on society and religion. To make an example of the hypocrisy in what Mark Twain dubbed The Gilded Age, she exposed the extramarital affairs of the most popular religious figure of the day (Henry Ward Beecher). This led to her persecution and imprisonment and the longest, most infamous trial of the 19th century. But it did not stop her fight for equality.Victoria's epic story, set in the late 1800s, comes to life in a modern, fictional style, while staying true to the actual words and views of the many well-known characters. ...more",heart soul karen hicks coming woman make fall love victoria woodhull friedman author governor heart texas kind confidence would take woman buck old boy club politics years victoria woodhull book takes back heart soul karen hicks coming woman make fall love victoria woodhull friedman author governor heart texas kind confidence would take woman buck old boy club politics years victoria woodhull book takes back breathtaking bird eye view time women liberation primarily confined one woman capable independent mind could put buzzi golden globe award winner television hall fame inductee sadly many americans never heard victoria woodhull let alone learned story revolutionary campaign presidency time women even allowed vote support worker rights feminist commitment equality century official battle equal rights amendment coming woman karen hicks brings woodhull efforts life reminds us nation greatest figures always featured history books riveting account amazing woman struggle justice human dignity told engaging eminently readable style wise author white like reflections race privileged son coming woman novel based life feminist victoria woodhull first woman run president years women could even vote running president victoria first woman also first successful wall street firm first publish successful national newspaper first head spiritualist association first woman enter senate judiciary committee chambers petition woman suffrage argument changing entire focus suffragist movement pointing amendments already gave women campaign presidency victoria woodhull boldly addressed many issues still face today equal pay equal work freedom love corporate greed political corruption fueled powerful lobbyists increasing disparity rich poor name outspoken ideas may shed new perspective parallel conundrums today bold beautiful sexually progressive woman dared take society religion make example hypocrisy mark twain dubbed gilded age exposed extramarital affairs popular religious figure day henry ward beecher led persecution imprisonment longest infamous trial century stop fight epic story set late comes life modern fictional style staying true actual words views many characters,0.9986
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowing team that stunned the world at Hitler's 1936 Berlin Olympics Daniel James Brownâs robust book tells the story of the University of Washingtonâs 1936 eight-oar crew and their epic quest for an Olympic gold medal, a team that transformed the sport and grabbed the attention o For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowing team that stunned the world at Hitler's 1936 Berlin Olympics Daniel James Brownâs robust book tells the story of the University of Washingtonâs 1936 eight-oar crew and their epic quest for an Olympic gold medal, a team that transformed the sport and grabbed the attention of millions of Americans. The sons of loggers, shipyard workers, and farmers, the boys defeated elite rivals first from eastern and British universities and finally the German crew rowing for Adolf Hitler in the Olympic games in Berlin, 1936. The emotional heart of the story lies with one rower, Joe Rantz, a teenager without family or prospects, who rows not for glory, but to regain his shattered self-regard and to find a place he can call home. The crew is assembledÂ  by an enigmatic coach and mentored by a visionary, eccentric British boat builder, but it is their trust in each other that makes them a victorious team. They remind the country of what can be done when everyone quite literally pulls togetherâa perfect melding of commitment, determination, and optimism. Drawing on the boysâ own diaries and journals, their photos and memories of a once-in-a-lifetime shared dream, The Boys in the Boat is an irresistible story about beating the odds and finding hope in the most desperate of timesâthe improbable, intimate story of nine working-class boys from the American west who, in the depths of the Great Depression, showed the world what true grit really meant. It will appeal to readers of Erik Larson, Timothy Egan, James Bradley, and David Halberstam's The Amateurs. ...more",readers laura hillenbrand seabiscuit unbroken dramatic story american rowing team stunned world hitler berlin olympics daniel james robust book tells story university crew epic quest olympic gold medal team transformed sport grabbed attention readers laura hillenbrand seabiscuit unbroken dramatic story american rowing team stunned world hitler berlin olympics daniel james robust book tells story university crew epic quest olympic gold medal team transformed sport grabbed attention millions americans sons loggers shipyard workers farmers boys defeated elite rivals first eastern british universities finally german crew rowing adolf hitler olympic games berlin emotional heart story lies one rower joe rantz teenager without family prospects rows glory regain shattered find place call home crew assembledâ enigmatic coach mentored visionary eccentric british boat builder trust makes victorious team remind country done everyone quite literally pulls perfect melding commitment determination optimism drawing diaries journals photos memories shared dream boys boat irresistible story beating odds finding hope desperate improbable intimate story nine boys american west depths great depression showed world true grit really meant appeal readers erik larson timothy egan james bradley david halberstam amateurs,0.9869
The Black Maria,"Praise for Aracelis Girmay:""[Girmay's] every lossâshe calls them estrangementsâis a yearning for connection across time and place; her every fragment is a bulwark against ruin."" â O, The Oprah Magazine ""In Aracelis Girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandabl Praise for Aracelis Girmay:""[Girmay's] every lossâshe calls them estrangementsâis a yearning for connection across time and place; her every fragment is a bulwark against ruin."" â O, The Oprah Magazine ""In Aracelis Girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandable that we think of her as the blessed curator of our collective histories. There is in her art the vulnerability of one who lives inside of the stories that she gathers in this remarkable collection. Her poems set off alarms even as they transform the world she inhabits, showing us, in the process, exactly what she asks of Romare Beardenâs art: ââ¦how not to // assign all blackness near the sea / a captivity.â This is one of the many sweet contradictions in the black maria, which âis a black flag / wounding the pastoral.â I am deeply thankful that we have a poet of her unique and singular talent writing today."" âKwame DawesTaking its name from the moon's dark plains, misidentified as seas by early astronomers, the black maria investigates African diasporic histories, the consequences of racism within American culture, and the question of human identity. Central to this project is a desire to recognize the lives of Eritrean refugees who have been made invisible by years of immigration crisis, refugee status, exile, and resulting statelessness. The recipient of a 2015 Whiting Award for Poetry, Girmay's newest collection elegizes and celebrates life, while wrestling with the humanistic notion of seeing beyond: seeing violence, seeing grace, and seeing each other better.""to the sea""great storage house, historyon which we rode, we touchedthe brief pulse of your flutteringpages, spelled with salt & life,your rage, your indifferenceyour gentleness washing our feet,all of you going onwhether or not we live,to you we bring our carnationsyellow & pink, how they floatlike bright sentences atopyour memory's dark hairAracelis Girmay is the author of three poetry collections, the black maria; Kingdom Animalia, which won the Isabella Gardner Award and was a finalist for the NBCC Award; and Teeth. The recipient of a 2015 Whiting Award, she has received grants and fellowships from the Jerome, Cave Canem, and Watson foundations, as well as Civitella Ranieri and the NEA. She currently teaches at Hampshire College's School for Interdisciplinary Arts and in Drew University's low residency MFA program. Originally from Santa Ana, California, she splits her time between New York and Amherst, Massachusetts. ...more",praise aracelis girmay girmay every calls yearning connection across time place every fragment bulwark ruin oprah magazine aracelis girmay poet collects polishes shares stories brilliant invention tenderness intellectual liveliness understandabl praise aracelis girmay girmay every calls yearning connection across time place every fragment bulwark ruin oprah magazine aracelis girmay poet collects polishes shares stories brilliant invention tenderness intellectual liveliness understandable think blessed curator collective histories art vulnerability one lives inside stories gathers remarkable collection poems set alarms even transform world inhabits showing us process exactly asks romare art assign blackness near sea one many sweet contradictions black maria black flag wounding deeply thankful poet unique singular talent writing today dawestaking name moon dark plains misidentified seas early astronomers black maria investigates african diasporic histories consequences racism within american culture question human identity central project desire recognize lives eritrean refugees made invisible years immigration crisis refugee status exile resulting statelessness recipient whiting award poetry girmay newest collection elegizes celebrates life wrestling humanistic notion seeing beyond seeing violence seeing grace seeing better sea great storage house historyon rode touchedthe brief pulse flutteringpages spelled salt life rage indifferenceyour gentleness washing feet going onwhether live bring carnationsyellow pink floatlike bright sentences atopyour memory dark hairaracelis girmay author three poetry collections black maria kingdom animalia isabella gardner award finalist nbcc award teeth recipient whiting award received grants fellowships jerome cave canem watson foundations well civitella ranieri nea currently teaches hampshire college school interdisciplinary arts drew university low residency mfa program originally santa ana california splits time new york amherst massachusetts,0.9956
